날짜,단어,뜻
Day19,anchor,"v. 고정하다, (~에) 단단히 기반을 두게 하다 n. 닻, 정신적 지주"
Day19,extract,"v. 끌어내다, 추출하다, 뽑다 n. 추출물, 발췌"
Day19,variation,"n. 변이, 변화, 변형, 차이"
Day19,crucial,"a. 매우 중요한, 결정적인"
Day19,trace,"n. 흔적, 극미량 v. 추적하다"
Day19,presume,"v. 추정하다, 전제로 하다, 간주하다"
Day19,symbolize,"v. 상징하다, 나타내다"
Day19,moisture,"n. 수분, 습기"
Day19,insistence,"n. 고집, 주장"
Day19,merge,"v. 합쳐지다, 합치다, 병합하다"
Day19,amount,"n. 양, 총액 v. (양이) 이르다"
Day19,drainage,"n. 배수, 배수 시설"
Day19,popularity,"n. 유행, 인기, 대중성"
Day19,manifestation,"n. 표현, 구현물, 징후"
Day19,expand,"v. 넓히다, 확장하다"
Day19,private,"a. 비공개의, 전용의, 사적인, 은밀한"
Day19,financial,"a. 재정적인, 금융의"
Day19,suitability,"n. 적합성, 적당, 어울림"
Day19,tempt,"v. 부추기다, 유혹하다"
Day19,glue,"n. 접착제, 풀 v. (접착제로) 붙이다"
Day19,dedicated,"a. 전용의, 헌신적인, 전념하는"
Day19,unique,"a. 고유한, 독특한"
Day20,emergent,"a. 창발적인, 새로 출현한, 신생의, 신흥의"
Day20,stereotype,n. 고정 관념
Day20,migrate,"v. 옮기다, 이주하다"
Day20,inhibit,"v. 억제하다, 방해하다"
Day20,scenic,"a. 경치가 좋은, 경관이 좋은, 아름다운, 극적인"
Day20,assign,"v. 부여하다, 배정하다"
Day20,manipulation,"n. 조작, 조종"
Day20,assemble,v. 조립하다
Day20,resort,"v. 의존하다 n. 리조트, 휴양지, 의지, 호소"
Day20,magnify,"v. 확대하다, 증대시키다"
Day20,screen,"v. 선별하다, 가리다 n. 스크린, 화면"
Day20,analyze,v. 분석하다
Day20,reinforce,v. 강화하다
Day20,contribution,"n. 기여, 공헌"
Day20,refund,n. 환불 v. 환불하다
Day20,commonplace,"a. 평범한, 매우 흔한 n. 흔한 일"
Day20,guardian,"n. 보호자, 수호자, 후견인"
Day20,purpose,"n. 목적, 의도"
Day20,complexity,n. 복잡(성)
Day20,bark,"n. 나무껍질, (개 등이) 짖는 소리 v. (개 등이) 짖다"
Day20,originality,"n. 독창성, 창의성"
Day20,publication,"n. 저작(물), 출판, 공개"
Day20,maximum,"n. 최대, 최대한(도)"
Day20,victim,"n. 피해자, 희생자"
Day20,location,"n. 장소, 위치"
Day20,passion,n. 열정
Day20,retirement,"n. 은퇴, 퇴직"
Day20,intellectual,"a. 지적인, 지능의 n. 지식인"
Day20,typical,"a. 전형적인, 보통의"
Day20,starve,"v. 굶주리다, 굶기다"
Day21,greet,"v. 인사하다, 맞이하다, 환영하다"
Day21,mutual,"a. 상호의, 상호 간의, 공동의"
Day21,deny,"v. 거부하다, 거절하다, 부인하다"
Day21,intelligent,"a. 똑똑한, 지능을 가진, 지능적인"
Day21,statistics,"n. 통계, 통계 자료"
Day21,downplay,"v. 대단치 않게 생각하다, 경시하다, 축소하다"
Day21,coded,"a. 규정된, 암호화된"
Day21,post,"v. 게시하다, 발송하다 n. 기둥, 직책, 일자리"
Day21,optimistic,"a. 낙관적인, 낙천적인"
Day21,stuffed,"a. 속을 채운, 박제된"
Day21,document,"n. 문서, 서류 v. 기록하다"
Day21,annual,"a. 연간의, 연례의, 매년의 n. 연감, 일년생 생물"
Day21,grab,"v. 붙잡다, 먹다, 마시다, 움켜잡다, (잠깐) ~하다"
Day21,constitute,"v. 구성하다, (~이) 되다"
Day21,praise,"n. 칭찬, 칭송 v. 칭찬하다, 칭송하다"
Day21,strive,"v. 노력하다, 분투하다"
Day21,institution,"n. 시설, 기관, 제도"
Day21,formulate,"v. 만들어 내다, 표현하다"
Day21,announce,"v. 표명하다, 발표하다"
Day21,maintain,v. 유지하다
Day21,waste,"n. 낭비, 쓰레기, 폐기물 v. 낭비하다"
Day21,thrive,"v. 번성하다, 성공하다"
Day21,envelope,n. 봉투
Day21,imply,"v. 암시하다, 내포하다"
Day21,frustration,"n. 좌절(감), 불만"
Day21,coordination,"n. 조화, 조정, 조직"
Day21,chase,"v. 쫓다, 추적하다 n. 추적"
Day21,accelerate,"v. 가속화되다, 가속화하다"
Day21,restriction,"n. 제한, 통제, 규제"
Day21,vehicle,"n. 수단, 차량"
Day22,interact,v. 상호 작용을 하다
Day22,unfold,"v. 전개되다, 펼쳐지다"
Day22,indication,"n. 사례, 암시, 표시"
Day22,predict,"v. 예측하다, 예보하다"
Day22,reassure,v. 안심시키다
Day22,examine,"v. 조사하다, 검토하다"
Day22,breakthrough,"n. 비약적인 발전, 돌파구"
Day22,external,"a. 외적인, 외부의"
Day22,successive,"a. 연속된, 잇따른"
Day22,intuitive,a. 직관적인
Day22,judgement,n. 판단
Day22,sum,"n. 합, 총계 v. 합하다"
Day22,immediate,"a. 즉각적인, 당장의"
Day22,rationale,"n. 근거, 이유"
Day22,invisible,"a. 보이지 않는, 감추어진"
Day22,consciousness,n. 의식
Day22,reach,"v. 도달하다, 연락하다"
Day22,vital,"a. 필수적인, 매우 중요한, 생명 유지에 필수적인"
Day22,separable,a. 분리할 수 있는
Day22,instinct,n. 본능
Day22,verbal,a. 언어적인
Day22,evolve,"v. 진화하다, 진화시키다"
Day22,algorithm,"n. 알고리즘, 일련의 산법"
Day22,posture,n. 자세
Day22,occur,"v. 일어나다, 발생하다"
Day22,acceptance,"n. 수용, 인정"
Day22,equivalent,a. 상당하는 n. 상당[대응]하는 것
Day22,approximate,"v. 어림잡다, 근사치를 계산하다 a. 근사치인, 거의 정확한"
Day22,discard,"v. 버리다, 폐기하다"
Day22,appreciate,"v. 제대로 인식하다, 감사하다, 감상하다"
Day23,extensive,"a. 광범위한, 광대한"
Day23,elaborate,"a. 정교한, 공들인 v. 상술하다"
Day23,artificial,"a. 인공의, 인공적인"
Day23,upward,"a. 상향의, 상승의"
Day23,enhance,"v. 증대하다, 향상하다"
Day23,attribute,"n. 속성, 자질 v. ~에 돌리다"
Day23,sensation,"n. 자극, 감각"
Day23,implant,v. 이식하다
Day23,constraint,"n. 제약, 제한, 구속"
Day23,recollection,"n. 기억, 회상"
Day23,descriptive,"a. 기술적인, 묘사하는, 서술하는"
Day23,evidence,n. 증거
Day23,self-esteem,"n. 자존감, 자부심"
Day23,decline,"n. 쇠퇴 v. 감소하다, 기울다"
Day23,probability,n. 확률
Day23,privileged,"a. 특권의, 특별히 선택된"
Day23,dialogue,n. 대화
Day23,mass,"n. (일반) 대중, 대부분, 질량"
Day23,primer,"n. 기본 지식, 입문서"
Day23,agricultural,a. 농업의
Day23,informative,"a. 유익한, 정보를 주는"
Day23,profound,"a. 깊은, 심오한"
Day23,prestige,"n. 명망, 명성"
Day23,consistently,"ad. 일관되게, 지속적으로"
Day23,subject,"n. (실험) 대상자, 주제, 교과목 a. 종속하는 v. 지배하에 두다, 종속시키다"
Day23,repressive,"a. 억압하는, 억압적인"
Day23,literate,"a. 문해력의, 지식이 있는"
Day23,metaphorical,"a. 은유적인, 비유적인"
Day23,obtain,"v. 존재하다, (상을) 받다, 얻다"
Day23,complicated,a. 복잡한
Day24,productive,"a. 생산의, 생산적인"
Day24,empathy,n. 공감
Day24,assessment,n. 평가
Day24,enemy,"n. 적, 원수"
Day24,process,"n. 과정 v. 처리하다, 가공하다"
Day24,budget,n. 예산 v. 예산을 세우다
Day24,inevitably,ad. 필연적으로
Day24,ethical,"a. 윤리적인, 도덕상의"
Day24,prospect,"n. 가능성, 전망"
Day24,detached,"a. 분리된, 떨어져 있는, 치우치지 않는"
Day24,captive,"a. (붙잡혀서) 사육되는, 사로잡힌, 포로의 n. 포로"
Day24,welfare,n. 복지
Day24,integrity,n. 진실성
Day24,attempt,n. 시도 v. 시도하다
Day24,alternative,n. 대안 a. 대안적인
Day24,dynamic,"n. 역학 관계, 역학 a. 역동적인, 동적인"
Day24,candidate,n. 후보
Day24,contemplative,"a. 관조적인, 사색적인"
Day24,legitimate,"v. 정당화하다 a. 타당한, 정당한"
Day24,intention,"n. 의도, 목적"
Day24,presence,n. 존재(감)
Day24,progress,"n. 진보, 진행 상황 v. 발전하다, 전진하다"
Day24,horizon,"n. 시야, 앞길, 지평"
Day24,craft,"v. (공들여) 만들다 n. 공예, 솜씨"
Day24,inability,"n. 하지 못하는 것, 무능"
Day24,measure,v. 측정하다 n. 조치
Day24,geology,n. 지질(학)
Day24,drastic,"a. 급진적인, 급격한, 과감한"
Day24,income,"n. 소득, 수입"
Day24,abundant,"a. 풍부한, 많은"
Day25,pursuit,"n. 추구, 추적"
Day25,float,"v. 떠다니다, 뜨다, 띄우다"
Day25,drip,n. 물방울 v. (똑똑) 떨어지다
Day25,inhumanely,ad. 비인간적으로
Day25,dialect,"n. 방언, 지방어 a. 방언의"
Day25,accomplish,"v. 달성하다, 완수하다"
Day25,pattern,"n. 패턴, 무늬, 견본"
Day25,promotion,"n. 증진, 승진, 홍보"
Day25,fatigue,"n. 피로, 피곤"
Day25,auditory,a. 청각적인
Day25,regulate,"v. 규제하다, 조절하다"
Day25,stable,a. 안정적인
Day25,maturity,"n. 성숙도, 성숙"
Day25,so-called,"a. 소위, 이른바"
Day25,attainment,"n. 도달, 달성"
Day25,define,v. 정의하다
Day25,formative,"a. 형성하는, 형태를 구성하는"
Day25,mainstream,"a. 주류의 n. 주류, 본류"
Day25,considerable,"a. 상당한, 중요한"
Day25,exhibit,"v. 보이다, 전시하다 n. 공연, 전시"
Day25,discovery,"n. 발견, 발각"
Day25,pose,"v. 제기하다 n. 자세, 포즈"
Day25,ecological,"a. 생태계의, 생태 친화적인"
Day25,descendent,"a. 후대의, 전해 내려오는, 낙하하는"
Day25,urgent,"a. 시급한, 긴급한"
Day25,adequate,"a. 적절한, 충분한"
Day25,highlight,"v. 부각시키다, 강조하다 n. 가장 밝은 부분, 하이라이트"
Day25,emerging,"a. 새로 등장하는, 새로 나타나는"
Day25,intervention,"n. 개입, 중재"
Day25,discipline,"n. (학문의) 분야, 과목, 훈육 v. 훈육하다"
Day26,interaction,n. 상호 작용
Day26,variant,"n. 변형, 변종 a. 다른, 상이한"
Day26,distinctive,"a. 독특한, 구별이 분명한"
Day26,trunk,"n. 줄기, 몸통"
Day26,collaborate,"v. 협업하다, 협력하다"
Day26,acknowledge,"v. 인정하다, 승인하다"
Day26,intensity,"n. 강렬함, 강도"
Day26,instance,"n. 사례, 경우"
Day26,ongoing,a. 지속적인
Day26,voice,"n. 발언권, 목소리 v. 소리를 내다"
Day26,barrier,"n. 장벽, 울타리"
Day26,logically,ad. 논리적으로
Day26,coverage,"n. 중계, 보도, 범위"
Day26,substantial,"a. 상당한, 꽤 많은"
Day26,invasion,"n. 침공, 침입"
Day26,spontaneously,"ad. 자발적으로, 자생적으로"
Day26,inhabit,"v. 거주하다, 서식하다, 살다"
Day26,wholesaler,"n. 도매상, 도매업자"
Day26,remote,"a. 멀리 있는, 외진, 원격의"
Day26,efficiency,"n. 효율(성), 능률"
Day26,adaptive,"a. 적응성이 있는, 순응하는"
Day26,initial,"a. 초기의, 처음의"
Day26,irrational,"a. 비이성적인, 불합리한"
Day26,upright,"a. 똑바로 선, 수직의"
Day26,unwritten,"a. 암묵적인, 불문율의"
Day26,retailer,"n. 소매상, 소매업자"
Day26,contact,"v. 접촉하다, 연락하다 n. 소통, 접촉"
Day26,exclusive,"a. 전용의, 독점적인"
Day26,generation,"n. 세대, 자손"
Day26,duplicate,"v. 모방하다, 복사하다"
Day27,induce,"v. 유도하다, 권유하다, 귀납적으로 추론하다"
Day27,repetition,"n. 반복, 되풀이"
Day27,interpretation,"n. 해석, 설명"
Day27,implication,"n. 영향, 시사점, 함축"
Day27,merrily,"ad. 즐겁게, 유쾌하게"
Day27,classification,"n. 분류, 분류법"
Day27,elect,"v. 결정하다, 선출하다"
Day27,rebel,"v. 반발하다, 반항하다 n. 반역자, 모반자"
Day27,communal,"a. 공동체의, 공동의"
Day27,hypothetical,"a. 가상의, 가설적인"
Day27,issue,"n. 문제 v. 지급하다, 발행하다"
Day27,source,"n. 출처, 원천"
Day27,reply,"v. 대답하다, 응답하다 n. 답변, 응답"
Day27,plain,"ad. 완전히, 순전히 a. 평범한, 간단한, 명백한"
Day27,motor,"a. 운동의, 원동(력)의"
Day27,promote,"v. 촉진하다, 증진하다, 홍보하다"
Day27,durable,"a. 오래 지속되는, 유지되는, 튼튼한"
Day27,biodiversity,"n. 생물 다양성, 종 다양성"
Day27,firm,"n. 기업, 회사 a. 단호한, 단단한"
Day27,vast,"a. 광대한, 막대한"
Day27,pervasive,"a. 만연한, 널리 퍼지는"
Day27,urban,"a. 도시의, 도회지에 있는"
Day27,reality,"n. 현실, 진실"
Day27,inequlity,"n. 불평등, 불공평"
Day27,designation,"n. (특정 목적을 위한) 직무, 직위, 명칭"
Day27,bullying,"n. 괴롭힘, 따돌림"
Day27,reign,"n. 치세, 통치 v. 통치하다, 지배하다"
Day27,neutral,"a. 중립적인, 애매한"
Day27,dwelling,"n. 집, 주거지"
Day27,deviant,"a. 규범에서 벗어난, 일탈적인, 정상이 아닌"
Day28,likelihood,"n. 가능성, 있음 직한 일"
Day28,tissue,"n. (세포들로 이뤄진) 조직, 화장지"
Day28,habitat,"n. 서식지, 거주지"
Day28,relieve,"v. 안도하게 하다, 안도하다, 덜다"
Day28,transaction,"n. 거래, 처리"
Day28,workforce,"n. 노동 시장, 노동력"
Day28,occupy,"v. 차지하다, 점유하다, 점령하다"
Day28,wage,"n. 임금, 급료"
Day28,worldview,n. 세계관
Day28,immerse,"v. 잠수하다, (액체 속에) 잠그다, 몰입하게 하다"
Day28,subjective,"a. 주관적인, 주관의"
Day28,inevitable,"a. 피할 수 없는, 부득이한"
Day28,political,"a. 정치적인, 정치에 관한"
Day28,erode,"v. 저하시키다, 약화시키다, 침식시키다"
Day28,volume,"n. 양, 부피, 체적"
Day28,conversation,"n. 대화, 대담"
Day28,disposal,"n. 처리, 처분"
Day28,division,"n. 구분, 부문, 분할"
Day28,ecosystem,n. 생태계
Day28,enormous,"a. 매우 큰, 엄청난"
Day28,fever,"n. 열, 열기"
Day28,decode,"v. 해석하다, 해독하다"
Day28,compound,"n. 화합물, 혼합물"
Day28,correlate,v. ~과 상관관계가 있다
Day28,utilize,"v. 활용하다, 소용되게 하다"
Day28,atmospheric,"a. 대기의, 분위기 있는"
Day28,severe,"a. 심각한, 혹독한"
Day28,opportunity,n. 기회
Day28,temporal,"a. 시간의, 일시적인, 잠시의"
Day28,procedural,"a. 절차의, 절차상의"
Day29,overwhelming,"a. 압도적인, 저항할 수 없는"
Day29,rearing,n. 양육
Day29,rival,"a. 경쟁적인, 경쟁자의 n. 경쟁자 v. 경쟁하다"
Day29,variability,"n. 변동성, 변하기 쉬움"
Day29,liberation,"n. 해방, 석방"
Day29,reaction,"n. 반응, 반작용"
Day29,patent,"v. 특허를 얻다 n. 특허권 a. 특허의, 특허권을 가진"
Day29,reproductive,"a. 번식의, 생식의"
Day29,still,"a. 가만히 있는, 정지한 ad. 여전히"
Day29,yield,"n. 수확량, 수익 v. 생기게 하다, 산출하다"
Day29,resemble,"v. ~과 닮다, ~과 비슷한 점이 있다"
Day29,consumption,"n. 소비, 소모"
Day29,overcome,"v. 극복하다, 이겨 내다"
Day29,intrigue,"v. 흥미를 일으키다, 흥미를 끌다"
Day29,longevity,"n. 수명, 장수"
Day29,provoke,"v. 유발하다, 일으키다"
Day29,lifespan,n. 수명
Day29,ridicule,"n. 조롱, 비웃음 v. 비웃다"
Day29,artifact,"n. 작품, 인공물, 가공물"
Day29,consensual,"a. 합의적인, 합의로 이루어진"
Day29,primitive,"a. 원초적인, 원시적인"
Day29,deliberate,"a. 의도적인, 계획적인"
Day29,foundation,"n. 기반, 기초, 재단"
Day29,arrogance,"n. 오만(함), 건방짐"
Day29,outgroup,n. 외집단
Day29,lack,"v. ~이 없다, 부족하다 n. 부족, 결핍"
Day29,mode,"n. 방식, 양식"
Day29,resilience,"n. 회복 탄력성, 회복력, 탄력"
Day29,sensitivity,"n. 민감도, (세심한) 감수성"
Day29,scarce,"a. 희소한, 부족한"
Day30,territory,"n. 지역, 영역, 영지"
Day30,audience,"n. 청중, 관객"
Day30,illegally,ad. 불법적으로
Day30,spectator,"n. 관람자, 관중, 구경꾼"
Day30,deplete,"v. 고갈시키다, 빼앗다"
Day30,static,"a. 정적인, 멈춰 있는, 고정된"
Day30,opposite,"a. 반대의, 맞은편의"
Day30,dominant,"a. 지배적인, 우세한, 유력한"
Day30,implement,"v. 시행하다, 이행하다 n. 도구, 기구"
Day30,continent,"n. 육지, 대륙"
Day30,condemn,v. 비난하다
Day30,jury,"n. 배심원(단), 심사 위원"
Day30,proportion,"n. 부분, 비율"
Day30,expendable,"a. 쉽게 희생될 수 있는, 소모성의"
Day30,attractive,"a. 매력적인, 사람의 마음을 끄는"
Day30,hospitality,"n. 환대, 후한 대접"
Day30,witness,"n. 증인, 목격자 v. 목격하다, 증언하다"
Day30,recover,"v. 회복하다, 되찾다"
Day30,tray,"n. 쟁반, 상자"
Day30,comparison,"n. 비교, 비유"
Day30,tariff,n. 관세
Day30,prosperity,"n. 번영, 호황"
Day30,exert,v. 발휘하다
Day30,state,"n. 상태, 국가 v. 주장하다, 진술하다"
Day30,retrieve,"v. 찾아내다, 되찾다"
Day30,departure,"n. 벗어남, 출발"
Day30,fluctuation,"n. 변동, 동요"
Day30,capable,"a. 할 수 있는, 유능한"
Day30,obey,"v. 따르다, 복종하다"
Day30,compromise,"v. 훼손하다, 위태롭게 하다, 타협하다 n. 타협, 절충"
Day31,grant,"v. 부여하다, 수여하다, 주다"
Day31,obscure,"v. 가리다, 어둡게 하다 a. 모호한, 이해하기 힘든"
Day31,trendy,a. 유행하는
Day31,discrimination,"n. 차별, 구별"
Day31,entrepreneur,"n. 기업가, 사업가"
Day31,genetic,"a. 유전적인, 기원의"
Day31,currency,"n. 통화, 화폐"
Day31,absorb,"v. 흡수하다, 몰입시키다"
Day31,impose,"v. 부과하다, 강요하다"
Day31,synergy,"n. 시너지, 상승 효과"
Day31,censorship,n. 검열
Day31,layout,"n. 배치, 구조, 설계"
Day31,replicate,"v. 복제하다, 반복하다 n. 복제된 것"
Day31,flexible,"a. 유연한, 융통성이 있는"
Day31,adopt,"v. 채택하다, 받아들이다"
Day31,appreciation,"n. 이해, 감사, 감상"
Day31,accumulate,"v. 축적하다, 모으다"
Day31,undermine,"v. 훼손하다, 약화시키다"
Day31,core,"a. 핵심적인 n. 코어 근육, 핵심, 정수"
Day31,untapped,"a. 미개척의, 개발되지 않은"
Day31,draft,"v. 설계하다, ~의 기초를 만들다 n. 프로 신인 선수 선발, 밑그림"
Day31,appraisal,"n. 평가, 감정"
Day31,spatial,"a. 공간적인, 공간의"
Day31,intact,"a. 온전한, 손상되지 않은"
Day31,invoke,"v. 환기하다, 불러일으키다"
Day31,autonomy,"n. 자율성, 자치권"
Day31,navigation,"n. 항해, 운항"
Day31,consumer,n. 소비자
Day31,method,"n. 방법, 방식"
Day31,contemplate,"v. 고려하다, 심사숙고하다"
Day32,infinite,"a. 무한한, 끝없는 n. 무한대, 무한한 공간"
Day32,term,"n. 용어, 기간 v. 부르다, 이름 짓다"
Day32,review,"v. 검토하다, 회고하다 n. 재검토, 재조사"
Day32,apron,n. 앞치마 v. 앞치마를 두르다
Day32,sponsor,"v. 주관하다, 후원하다 n. 후원자, 보증인"
Day32,article,"n. 논문, 기사"
Day32,nocturnal,"a. 야간의, 야행성의"
Day32,sprout,"v. 나게 하다, 발아하다 n. 새싹, 발아"
Day32,precise,"a. 정확한, 정밀한"
Day32,charity,"n. 자선 단체, 자애, 자비"
Day32,outstanding,"a. 뛰어난, 중요한, 눈에 띄는"
Day32,cause,"n. 대의, 원인, 이유 v. 초래하다, 일으키다"
Day32,degraded,"a. 훼손된, 오염된"
Day32,relevance,"n. 관련성, 연관성, 타당성"
Day32,tremble,"v. 떨리다, 떨다, 전율하다 n. 떨림, 전율"
Day32,seek,"v. 추구하다, 찾다 n. 탐색"
Day32,leash,"n. 목줄, 사슬 v. 속박하다"
Day32,urge,n. 충동 v. 촉구하다
Day32,represent,"v. 표현하다, 나타내다"
Day32,tale,"n. 이야기, 설화"
Day32,respectively,ad. 각각
Day32,distortion,n. 왜곡
Day32,persuade,v. 설득하다
Day32,transmit,"v. 전달하다, 보내다, 발송하다"
Day32,hierarchy,"n. 계층, 계급"
Day32,landmark,"n. 주요 지형지물, 육상 지표, 획기적인 사건"
Day32,value,"n. 가치, 값 v. 평가하다, 가치를 매기다"
Day32,tension,"n. 긴장, 팽팽함"
Day32,illusion,"n. 착각, 환영"
Day32,grain,"n. 한 알, 낟알, 곡류 v. 낟알로 만들다"
Day33,generalize,"v. 일반화하다, 개괄적으로 말하다"
Day33,labor,"n. 노동, 근로"
Day33,fragile,"a. 취약한, 깨지기 쉬운"
Day33,status,"n. 지위, 상태"
Day33,continuum,n. 연속체
Day33,devote,"v. 쏟다, 바치다"
Day33,virtue,"n. 미덕, 선행"
Day33,shift,"v. 전환하다, 옮겨 가다 n. 전환, 변화"
Day33,opponent,n. 상대방 a. 반대하는
Day33,subsequent,"a. 그다음의, 차후의"
Day33,graduate,n. 졸업생 v. 졸업하다 a. 졸업생의
Day33,impaired,"a. 손상된, 망가진, 고장 난"
Day33,parental,"a. 양육의, 부모의"
Day33,evident,"a. 분명한, 명확한"
Day33,embrace,"v. 받아들이다, 포용하다"
Day33,deduce,"v. 도출하다, 추론하다, 연역하다"
Day33,dilemma,"n. 딜레마, 궁지"
Day33,ethnic,"a. 민족적인, 민족 특유의"
Day33,threat,"n. 위협, 협박"
Day33,overtly,"ad. 명백하게, 공공연하게"
Day33,dimension,"n. 차원, 치수"
Day33,enterprise,"n. 탐구 활동, 사업"
Day33,superficial,"a. 표면적인, 피상적인"
Day33,subtle,"a. 미묘한, 포착하기 힘든"
Day33,enrolment,"n. (시험의) 등록자 수, 등록"
Day33,ignorant,"a. 의식하지 못하는, 무지의"
Day33,default,"n. 기본 설정, 불이행"
Day33,maintenance,"n. 유지 관리, 보수"
Day33,ingest,"v. 섭취하다, 수집하다"
Day33,transport,"v. 데려가다, 운반하다"
Day34,quarter,"n. 4분의 1, 분기"
Day34,infect,"v. 영향을 미치다, 전파하다, 감염시키다"
Day34,eminent,a. 저명한
Day34,exponential,"a. 기하급수적인, 급격한"
Day34,heartfelt,a. 진심 어린
Day34,viral,"a. 바이럴의, (인터넷 등에서) 입소문이 퍼지는, 바이러스(성)의"
Day34,degree,"n. 학위, 정도, 등급"
Day34,nuisance,"n. 남에게 폐가 되는 사람, 성가신 일"
Day34,venue,n. (행사) 장소
Day34,predominant,"a. 지배적인, 주된"
Day34,legendary,"a. 전설적인, 유명한"
Day34,extraordinary,a. 비범한
Day34,discretion,"n. 신중함, 재량(권)"
Day34,sheer,"a. 엄청난, 순전한, 완전한"
Day34,bachelor,"n. 학사, 미혼남"
Day34,posit,"v. 상정하다, (~을 사실로) 가정하다"
Day34,facility,n. 시설
Day34,exceed,"v. 초과하다, 초월하다"
Day34,associate,v. 연관 짓다 n. 동료
Day34,doctorate,n. 박사 학위
Day34,offence,"n. 불쾌함, 모욕, 화나게 하는 행위"
Day34,exploit,"v. 이용하다, 활용하다, 착취하다"
Day34,minority,"n. 소수, 소수 집단, 미성년"
Day34,approach,"v. 다가오다, 다가가다 n. 접근 방식"
Day34,scrap,"n. (특히 종이·옷감 등의) 조각, 폐품, 폐물"
Day34,gratitude,"n. 감사, 고마움"
Day34,immigrant,n. (다른 나라로 온) 이민자
Day34,endorsement,"n. 추천, 보증"
Day34,gaze,"n. 시선, 눈길"
Day34,relentless,"a. 끈질긴, 가차 없는"
Day35,await,v. 기다리다
Day35,predecessor,"n. 이전 것, 전신"
Day35,catalogue,v. 목록화하다 n. 목록
Day35,summarize,v. 요약하다
Day35,credibility,"n. 신뢰도, 신뢰성"
Day35,competence,n. 능력
Day35,reciprocity,n. 상호성
Day35,rate,"v. 평가하다, 여기다 n. 속도"
Day35,freshwater,n. 민물 a. 민물의
Day35,pertinent,a. 관련 있는
Day35,terminology,"n. (집합적으로) 용어(들), 전문 용어"
Day35,rotate,v. 회전하다
Day35,flicker,n. 깜빡거림 v. 깜빡이다
Day35,integral,a. 필수적인
Day35,peculiar,"a. 특유의, 독특한"
Day35,sleepover,"n. 자고 가기, 함께 자며 놀기"
Day35,draw,"v. 끌어당기다, 그리다 n. 추첨, 제비뽑기, 무승부"
Day35,encounter,"n. (우연한) 만남, 조우 v. 마주하다, 맞닥뜨리다"
Day35,stake,"n. 지분, 이해관계, 관련, 말뚝, 내기 v. (돈·생명 등을) 걸다, 말뚝을 박아 표시하다"
Day35,overnight,"a. 하룻밤의, 야간의"
Day35,archive,"n. 기록물, 기록 보관소 v. (문서 등을) 보관하다"
Day35,scholarship,"n. 장학 기금, 장학금"
Day35,robust,"a. 탄탄한, 견고한"
Day35,breed,"v. 번식하다, 낳다, 기르다"
Day35,salient,"a. 현저한, 두드러진"
Day35,distance,v. 거리를 두다 n. 거리
Day35,flavor,"v. 맛을 내다 n. 풍미, 맛"
Day35,multilayered,a. 다층적인
Day35,narrative,n. 이야기
Day35,colony,"n. 집단, 군집, 식민지"
Day36,transition,n. 전환
Day36,potential,a. 잠재적인 n. 잠재력
Day36,ensemble,"n. 앙상블(합주단), 총체, 전체적인 효과"
Day36,possibility,n. 가능성
Day36,starchy,a. 전분이 많은
Day36,toxin,n. 독소
Day36,tap,"v. (가볍게) 톡톡 두드리다 n. (가볍게) 두드리기, 수도꼭지"
Day36,circuit,"n. 회로, 순환"
Day36,sequence,"n. 순서, 서열"
Day36,hardwire,"v. (행동 양식을) 고정화시키다, 굳어 버리게 하다"
Day36,perpetual,a. 끊임없는
Day36,potent,a. 강력한
Day36,argument,"n. 논증, 주장"
Day36,enzyme,n. 효소
Day36,thoughtful,"a. 사려 깊은, 친절한"
Day36,sip,n. 한 모금 v. 한 모금 마시다
Day36,component,n. 구성 요소
Day36,assert,"v. 주장하다, 행사하다, 발휘하다"
Day36,criticism,n. 비판
Day36,spoilage,n. 부패
Day36,empirical,"a. 경험적인, 실증적인"
Day36,transformation,"n. 변화, 전환"
Day36,contagious,a. 전염성이 강한
Day36,disprove,"v. 반박하다, ~의 반증을 들다"
Day36,tremendous,a. 엄청난
Day36,whisper,v. 속삭이다
Day36,ancestor,n. 조상
Day36,evade,"v. 피하다, 모면하다"
Day36,unprecedented,a. 전례 없는
Day36,sparkle,v. 반짝이다
Day37,integration,n. 통합
Day37,grin,n. 활짝 웃음 v. 활짝 웃다
Day37,grip,v. 꽉 쥐다 n. 그립(미끄럼 방지 처리가 된 손잡이)
Day37,resume,v. 재개하다 n. 이력서
Day37,standardize,v. 표준화하다
Day37,specify,v. 명시하다
Day37,disclose,"v. 밝히다, 드러내다"
Day37,conduct,"v. 실시하다, 진행하다 n. 행동"
Day37,comply,"v. 순응하다, 따르다"
Day37,wholeheartedly,"ad. 전적으로, 진심으로"
Day37,given,prep. ~을 고려하여
Day37,sphericity,"n. 구형성, 구형도"
Day37,realm,"n. 범위, 영역"
Day37,howl,"v. 소리를 지르다, 울부짖다"
Day37,facilitate,"v. 가능하게 하다, 용이하게 하다, 촉진하다"
Day37,pound,"v. 두근거리다, (세게) 두드리다"
Day37,nurture,"v. 육성하다, 돌보다, 양육하다"
Day37,illiteracy,n. 문맹
Day37,spiritual,a. 정신적인
Day37,context,"n. (어떤 일의) 맥락, 상황"
Day37,fade,"v. 사라지다, 희미해지다"
Day37,critical,"a. 중요한, 비판적인"
Day37,constructivist,a. 구성주의적인 n. 구성주의자
Day37,overestimate,v. 과대평가하다
